/*
本文件为人工标注的3676个实体对，所有已标注实体对关系的示例将对应于train_data.txt，共包含对应3676个包。
本数据集版权由csdn博主【华师数据学院·王嘉宁】所有，如若您的科研、毕设等中使用本数据集，请在您的科研成果或论文中引用该博文：https://blog.csdn.net/qq_36426650/article/details/87719204。
本数据集因主要爬取百度百科、互动百科和博客园，因此仅供科研使用，禁止任何形式的商业行为。
*/
[entity1] [entity2] [label]
变量 内存 无关
链地址法 删除 无关
开放定址法 装填因子 依赖
B+树 插入 拥有
B+树 结点 包含
B+树 指针 拥有
模式匹配 变量 无关
根结点 内部结点 被依赖
结点 删除 拥有
父结点 兄弟结点 被依赖
插入排序 排序 属于
插入排序 数据 依赖
排序 数组 属性
记录 关键字 拥有
排序 基数排序 包含
结点 树形结构 无关
折半插入排序 排序 属于
数组 插入 拥有
插入 记录 依赖
直接插入排序 算法 拥有
元素 插入 被依赖
孩子结点 链表 无关
删除 操作数 无关
双向链表 引用 无关
插入排序 时间复杂度 拥有
排序 插入排序 包含
最短路径 算法 拥有
路径 算法 无关
排序 二元组 无关
队尾 起泡排序 无关
字符 后继 无关
交换排序 算法 拥有
字符 算法 无关
字符 字符串 被依赖
迪杰斯特拉算法 最短路径 属性
算法 结点 无关
先进先出 算法 无关
输出 函数名 无关
哈希函数 哈希表 属性
中序遍历 前驱 无关
冲突 哈希地址 属性
折叠法 关键字 依赖
哈希地址 关键字 拥有
直接插入排序 选择排序 无关
尾插法 插入 属于
算法 数据 无关
堆排序 中序遍历 无关
时间复杂度 删除 无关
算法 文件 无关
算法 散列 无关
无向图 邻接多重表 拥有
哈希表 关键字 拥有
双亲结点 二叉树 无关
数据结构 算法 被依赖
深度 文件 无关
内存 深度 无关
映像 输入 无关
结点 链表 属性
链表 线性表 属性
编码 路径 无关
单向链表 结点 拥有
取模 冲突 无关
右子树 二叉树 属性
完全图 无向图 属于
负载因子 修改 无关
数据结构 父结点 包含
结点 完全图 属性
顶点 无向完全图 无关
右子树 双亲 依赖
克鲁斯卡尔算法 算法 属于
结点 连通分量 被依赖
空串 字符串 属于
空串 字符 无关
指针域 元素 无关
模式串 输出 无关
数据类型 枚举型 包含
常量 运算符 无关
变量 集合 无关
时间复杂度 并查集 属性
元素 检索 被依赖
集合 输出 无关
输入 数据 依赖
根结点 父结点 属于
修改 结点 无关
叶子结点 文件 无关
表达式 变量 拥有
算法 变量 依赖
变量名 表达式 无关
集合 剪枝 无关
尾结点 引用 无关
文件 空指针 无关
条件语句 程序 属于
变量 输出 被依赖
数据类型 运算符 无关
表达式 字符串 无关
算法 集合 无关
集合 算法 无关
遍历 回路 无关
输入 遍历 无关
最小生成树 算法 拥有
结点 空间复杂度 无关
修改 函数名 无关
结点 有序树 无关
元素 归并排序 无关
数据 结点 无关
元素 兄弟结点 无关
字符 空指针 无关
顺序表 记录 拥有
参数列表 参数 包含
函数名 参数列表 无关
树形结构 根结点 拥有
存储结构 三元组表 包含
参数 参数列表 属于
队列 出栈 无关
路径 索引 无关
队尾 删除 无关
队列 指针 拥有
队头指针 队头元素 属性
队尾指针 元素 无关
队尾 元素 无关
删除 队列 无关
深度 确定性 无关
有向无环图 路径 拥有
伸展树 平衡因子 拥有
队列 进栈 无关
指针 队列 属性
二叉树 孩子结点 拥有
引用 迭代器 无关
外部排序 内部排序 反义
算法 稀疏图 无关
插入排序 算法 拥有
希尔排序 算法 拥有
出队 输出 无关
链表 修改 无关
排序 输入 无关
结点 冲突 无关
输出 叶子结点 无关
哈夫曼编码 编码 属于
二叉树 编码 拥有
算法 编码 无关
哈夫曼编码 数据结构 属于
数组 平衡二叉树 无关
叶子结点 B树 属性
指针数组 结点 无关
结点 遍历 无关
编码 内存 无关
哈夫曼编码 哈夫曼树 依赖
路径 顶点 属性
算法 连通图 无关
递归 深度优先遍历 被依赖
平衡因子 深度 无关
记录 路径 无关
数据 线性表 无关
变量 指针 包含
输出 结点 无关
编译 元素 无关
单向链表 存储结构 属于
二维数组 内存 无关
单向链表 插入 拥有
取模 运算符 无关
指针 变量 属于
单向链表 选择排序 无关
指针 结点 无关
链表 直接插入排序 无关
插入 有序表 属性
内存 负载因子 无关
有序表 记录 拥有
直接插入排序 时间复杂度 拥有
变量 哨兵 无关
关键字 直接插入排序 无关
算法 哨兵 无关
文件 关键字 无关
子树 链表 无关
集合 空树 无关
空树 深度 拥有
冲突 关键字 无关
散列 哈希表 被依赖
开放定址法 冲突 属性
插入 冲突 无关
冲突 存储地址 属性
遍历二叉树 递归 依赖
文件 索引顺序文件 拥有
索引项 索引 属性
输出 模式串 无关
检索 链表 属性
虚拟存储存取方法 索引顺序文件 拥有
路径 带权路径长度 拥有
文件 最短路径 无关
文件 控制区间 拥有
B+树 文件 无关
红黑树 右子树 拥有
输入 后序遍历 无关
交换排序 记录 无关
指针数组 等价关系 无关
物理结构 文件 属性
数据 修改 无关
修改 文件 无关
强连通分量 祖先 无关
割点 栈顶 无关
指针 深度 无关
链式存储结构 结点 依赖
双向链表 元素 无关
前驱 指针域 无关
文件 可行性 拥有
栈顶 参数 无关
线索链表 后继 拥有
二叉树 结点 拥有
前驱 后继 反义
中序遍历 二叉树 属性
指针 线索 无关
直接定址法 哈希地址 属性
哈希地址 哈希表 属性
树形结构 集合 无关
形式参数 进栈 无关
先序遍历 输出 无关
整型 变量 属性
二叉树 线索化 拥有
数组 有序链表 无关
算法 正确性 拥有
算法 有穷性 拥有
输出 算法 属性
时间复杂度 空间复杂度 无关
健壮性 数据 无关
递归函数 压栈 无关
整型 操作数 无关
子集 结点 无关
回溯法 深度优先遍历 属性
回溯法 根结点 无关
森林 算法 无关
基数排序 排序 属于
字符串 基数排序 无关
路径 字符 无关
字典 输出 无关
数据结构 深度 无关
顺序文件 记录 拥有
检索 伸展树 包含
伸展树 父结点 拥有
字符 记录 无关
伪代码 程序 属于
双亲 祖先 同义
祖先 双亲 同义
递归算法 算法 属于
结点 二叉树 属性
深度 完全二叉树 属性
根结点 二叉树 属性
完全二叉树 深度 拥有
遍历 左孩子 无关
孩子结点 结点 属于
迪杰斯特拉算法 路径 无关
无序树 子树 拥有
右孩子 结点 属于
算法 并查集 包含
左孩子 前驱 无关
桶排序 基数排序 属于
结点 左子树 属性
输入 路径 无关
NPC问题 时间复杂度 拥有
关键路径 路径 属于
输入 AOE网 无关
父结点 遍历 无关
贪心法 最小生成树 属性
中序遍历 遍历二叉树 属性
中缀表达式 操作数 无关
元素 中序遍历 无关
结点 子图 无关
连通图 完全图 属于
有向图 有向树 无关
有向图 有向无环图 包含
有向树 有向图 无关
有向图 生成森林 无关
指针 顺序查找 被依赖
数据 数据类型 拥有
回文串 子串 拥有
变量 结构类型 无关
元素 内存 无关
形式参数 参数 属于
关键字 参数 无关
输入 顶点 无关
循环队列 删除 无关
有向图 邻接矩阵 拥有
文件 邻接矩阵 无关
集合 回路 无关
顶点 子集 无关
遗传算法 算法 属于
NPC问题 旅行商问题 属性
输入 排序 无关
结点 数据域 无关
变量 数据 属于
主函数 数据 无关
变量 编译 无关
程序 变量 拥有
前缀树 算法 拥有
变量 文件 无关
数组 字符 无关
赋值 变量 依赖
字符串 数组 拥有
数组 赋值 拥有
折半查找 检索 属于
递归 编译 无关
右孩子 平衡因子 无关
输出 散列 无关
散列 哈希函数 拥有
哈希函数 数据 无关
空树 递归 无关
算法 冲突 无关
空树 右子树 无关
B+树 数组 无关
数组 数据结构 属于
叶子结点 数据结构 属于
元素 后继 无关
整型 赋值 无关
结点 插入 无关
计数排序 基数排序 无关
循环语句 输出 无关
删除 编译 无关
数据结构 集合 无关
B+树 散列 无关
逻辑结构 数据 无关
逻辑结构 存储结构 反义
编译 索引 无关
遍历 二叉排序树 属性
图结构 数据结构 属于
空指针 程序 无关
队列 插入 拥有
数据结构 检索 包含
数据结构 结点 包含
数组 栈顶 无关
算法 蚁群算法 包含
遗传算法 编码 无关
结点 压栈 无关
遗传算法 确定性 拥有
二叉树 字符串 无关
三叉链表 数据结构 属于
变量 子集 无关
遗传算法 旅行商问题 属性
编码 遗传算法 无关
二维数组 遍历 拥有
递归 插入 无关
二叉排序树 递归 依赖
元素 等价类 无关
集合 等价关系 拥有
集合 等价类 无关
询问 时间复杂度 拥有
等价类 集合 无关
指针 二叉树 属性
链表 数据结构 属于
指针 循环链表 属性
头结点 链表 属性
数据结构 单向链表 包含
操作数 表达式 被依赖
操作数 数据 属于
深度 排序 无关
数据项 记录 被依赖
内存 数组 无关
文件 数据项 无关
输入 文件 无关
物理结构 索引 被依赖
选择排序 算法 拥有
路径 哈夫曼编码 无关
哨兵 插入 无关
B树 数据结构 属于
平衡二叉排序树 B树 包含
B树 检索 属性
叶子结点 深度 拥有
插入 索引 无关
先进先出 元素 无关
父结点 深度优先遍历 无关
分治法 数组 无关
父结点 结点 属于
元素 队列 属性
存储结构 数据结构 属于
遍历 连通分量 无关
数学归纳法 集合 无关
链栈 链表 属于
生成树 结点 拥有
强连通分量 有向无环图 属性
有向无环图 顶点 拥有
深度优先遍历 记录 无关
邻接多重表 结点 拥有
强连通分量 子树 无关
广度优先遍历 递归 依赖
静态查找表 算法 拥有
数组 右子树 无关
单向链表 双向链表 反义
后继 指针域 拥有
结点 顺序查找 无关
链表 输出 无关
双向链表 单向链表 反义
插入 程序 无关
递归函数 右子树 无关
快速排序 内存 无关
数组 排序 拥有
元素 递归 无关
遍历 叶子结点 无关
引用 变量名 依赖
拓扑排序 有向无环图 属性
变量名 引用 被依赖
生成树 数据 无关
折半查找 插入 无关
正则表达式 子串 无关
递归 右子树 无关
数据类型 遍历 无关
遍历 递归算法 拥有
先序遍历 后序遍历 反义
数据域 顶点 无关
集合 队列 无关
胜者树 记录 无关
输入 结点 无关
元素 频度 无关
回路 活动 无关
单源最短路径 时间复杂度 无关
索引 常量 无关
希尔排序 排序 属于
希尔排序 直接插入排序 属于
希尔排序 元素 无关
希尔排序 时间复杂度 属于
结点 子串 无关
字符串 后缀树 无关
孩子结点 祖先 属性
元素 起泡排序 无关
关键字 函数名 无关
时间复杂度 背包问题 无关
正确性 程序 属性
输出 数组 无关
关键字 子树 无关
算法 插入 无关
B树 插入 拥有
顺序表 指针 拥有
关键字 结点 无关
实值参数 内存 无关
参数 指针 无关
修改 指针 无关
指针 参数 无关
集合 右子树 无关
树形结构 二叉树 包含
正则表达式 检索 无关
正则表达式 程序 属于
字符串 正则表达式 拥有
字符串 检索 拥有
表达式 引用 无关
表达式 正则表达式 包含
字符 正则表达式 被依赖
迪杰斯特拉算法 修改 无关
正则表达式 删除 无关
删除 程序 无关
出度 顶点 无关
顺序栈 元素 拥有
变量 索引 无关
数据类型 数组 属性
算法 祖先 无关
内存 元素 无关
三维数组 数组 属于
整型 表达式 无关
字符串 常量 拥有
操作数 数据类型 拥有
数组 输入 无关
数组 变量名 无关
字符 文件 无关
头结点 数据域 拥有
数组指针 指针 拥有
二维数组 常量 拥有
指针 变量名 拥有
数组 二维数组 包含
存储结构 内存 无关
顺序查找 结点 无关
结点 索引 无关
时间复杂度 路径 无关
顺序结构 程序 无关
集合 表达式 无关
子图 强连通分量 无关
回路 结点 无关
结点 回路 无关
顶点 深度优先遍历 无关
指针 指针数组 被依赖
存储结构 遍历 无关
指针数组 数组 属于
指针数组 字符串 无关
元素 指针 无关
指针数组 数组指针 无关
稀疏矩阵 压缩存储 拥有
头插法 插入 属于
树形选择排序 选择排序 属于
程序 排序 无关
正确性 变量 无关
栈顶 栈顶指针 拥有
红黑树 平衡二叉排序树 属于
变量 栈顶指针 包含
弗洛伊德算法 邻接矩阵 依赖
叶子结点 数据 无关
红黑树 数据 无关
红黑树 检索 属性
迭代器 遍历 被依赖
遍历 数据结构 属于
输出 深度 无关
映像 记录 无关
迭代器 运算符 无关
输出 稀疏矩阵 无关
数据 可读性 无关
顶点 链表 属性
无向图 链式存储结构 拥有
递归 递归函数 拥有
集合 顶点 无关
连通图 生成树 无关
输出 连通分量 无关
表达式 可读性 无关
连通分量 算法 无关
最短路径 数据结构 属于
输出 记录 无关
有向图 元素 无关
结点 连通图 属性
数据类型 内存地址 无关
无向图 子图 拥有
伸展树 记录 无关
数组 数据元素 拥有
链表结构 遍历 无关
二叉排序树 数据 无关
顺序表 内存 无关
插入 数据元素 依赖
渐进时间复杂度 算法 属性
排序 数据元素 无关
选择排序 输出 拥有
选择排序 起泡排序 无关
整型 二维数组 属性
子串 主串 依赖
邻接表 指针 拥有
时间复杂度 邻接表 无关
记录 指针 无关
路径 二叉树 属性
修改 根结点 无关
数据结构 程序 无关
红黑树 最短路径 无关
编译 常量 无关
查找效率 检索 属性
元素 字符型 无关
指针 编译 无关
平衡因子 平衡二叉树 属性
字符 等价类 无关
逻辑结构 元素 无关
逻辑结构 程序 无关
元素 子集 属性
整型 常量 属性
数据 单向链表 无关
指针 常量 拥有
负权边 算法 无关
无向图 子集 无关
回路 生成树 无关
遍历 集合 无关
字符 递归 无关
二叉树 右子树 拥有
遍历 路径 无关
图的遍历 深度 无关
遍历 广度优先遍历 包含
深度优先遍历 遍历 属于
索引表 记录 拥有
数据结构 双端队列 包含
操作数 运算符 包含
指针 运算符 无关
运算符 插入 无关
插入 字符串 无关
压栈 指针 无关
插入 表达式 无关
BM算法 模式串 依赖
存储结构 结点 无关
元素 正确性 无关
文件 指示器 拥有
元素 字符 无关
字符串 0-1背包问题 无关
引用 数据类型 属性
模式匹配 字符 无关
算法 右子树 无关
字符串 插入 无关
文件 字符串 无关
浮点型 整型 无关
优先队列 结点 无关
回溯法 深度 无关
循环队列 指针 拥有
出队 指针 无关
后继 左子树 无关
有限序列 数据元素 无关
字典 操作数 无关
算法 负权边 无关
孩子结点 检索 无关
单向链表 前驱 拥有
形式参数 指针 无关
空间复杂度 数据 无关
空间复杂度 时间复杂度 无关
插入排序 直接插入排序 包含
字符串 模式串 包含
叶子结点 根结点 依赖
头指针 队尾指针 反义
数据 红黑树 无关
嵌套调用 程序 属性
活动 输入 无关
广义表 数据元素 拥有
主关键字 关键字 属于
修改 记录 无关
顺序映像 非顺序映像 反义
检索 查找表 被依赖
查找表 输入 无关
子树 头结点 无关
右孩子 入队 无关
外部排序 算法 拥有
顶点 出队 无关
队头 顶点 无关
时间复杂度 插入排序 属性
路径 插入 无关
连通分量 Tarjan算法 拥有
算法 强连通分量 属性
结点 出栈 无关
递归算法 数组 无关
哈夫曼树 二叉树 属于
编码 结点 无关
森林 结点 拥有
森林 哈夫曼树 无关
哈夫曼树 元素 无关
哈夫曼编码 二叉树 无关
选择排序 插入 无关
检索 空表 无关
结点 时间复杂度 无关
变量 时间复杂度 无关
哈希地址 记录 属性
检索 程序 无关
数据 数据项 拥有
顺序查找 数据 无关
字典 插值查找 无关
BF算法 主串 依赖
回溯法 枚举法 无关
回溯法 算法 属于
路径 深度优先遍历 无关
回溯法 子集 无关
平衡二叉树 时间复杂度 拥有
二叉堆 完全二叉树 包含
数据 根结点 无关
有向图 最短路径 拥有
正则表达式 索引 无关
单向链表 表达式 无关
后进先出 右子树 无关
有向图 拓扑排序 拥有
指针 路径 无关
带权有向图 顶点 无关
子树 排序 无关
路径 活动 属性
时间复杂度 表达式 无关
路径 关键路径 包含
邻接矩阵 链表 无关
内存 表达式 无关
结点 修改 无关
索引 反向索引 反义
检索 数据结构 属于
索引 引用 无关
数据 倒排文件 无关
字符串 结点 无关
子树 指针 无关
前缀树 结点 拥有
数据项 内存 无关
编译 程序 属性
二叉堆 二叉树 属于
强连通图 路径 拥有
递归 递归算法 拥有
桶排序 排序 属于
基数排序 元素 无关
关键字 时间复杂度 无关
桶排序 时间复杂度 拥有
桶排序 元素 无关
有序表 删除 无关
伸展树 结点 拥有
非连通图 深度优先遍历 无关
检索 路径 无关
广度优先遍历 二叉树 属性
伸展树 元素 无关
伸展树 删除 无关
伸展树 后继 无关
数据元素 线性表 属性
输出 后序遍历 无关
双向链表 链表 属于
链表 尾结点 拥有
插入 尾结点 属性
再哈希法 冲突 属性
尾结点 结点 属于
关键字 变量 无关
参数 程序 无关
有向图 深度 无关
模拟退火算法 参数 拥有
快速排序 空间复杂度 拥有
顺序存取 文件 无关
广度优先遍历 顶点 无关
队列 集合 无关
基桶 指针 无关
询问 简单询问 包含
索引 集合 无关
集合 倒排文件 无关
倒排文件 数据 无关
二叉树 空树 拥有
集合 数组 无关
后继 父结点 无关
数组 运算符 无关
数组 整型 拥有
程序 元素 无关
数组 文件 无关
起泡排序 交换排序 无关
无序树 结点 无关
进栈 删除 无关
程序 内存地址 依赖
后序遍历 算法 拥有
深度优先遍历 路径 无关
广度优先遍历 深度优先遍历 反义
广度优先遍历 邻接点 无关
队列 根结点 无关
队列 双端队列 包含
顺序查找 程序 无关
符号表 删除 无关
关键字 程序 无关
父结点 记录 无关
右孩子 叶子结点 拥有
算法 路径 无关
元素 字符序列 无关
元素 记录 属性
进栈 运算符 无关
伪代码 修改 无关
回溯法 递归 依赖
顺序查找 索引 属性
空树 排序 无关
结点 强连通图 无关
数据 查找效率 无关
深度 散列 无关
数据结构 插入 无关
数组 快速排序 拥有
检索 子串 属性
数据结构 平衡二叉树 包含
修改 集合 无关
数据 数据域 无关
分块查找 索引顺序查找 依赖
迭代器 程序 属于
元素 迭代器 无关
记录 队列 无关
有序表 动态查找表 无关
字典 顶点 无关
再哈希法 哈希函数 拥有
查找效率 平均查找长度 依赖
层序遍历 算法 拥有
子集 顶点 无关
存储结构 程序 无关
检索 B树 拥有
表达式 文件 无关
起泡排序 文件 无关
元素 数据结构 属性
邻接表 链表 属于
物理结构 内存 属性
生成森林 顶点 无关
有穷性 程序 属性
内部排序 内存 依赖
根结点 删除 无关
指针 关键字 无关
左子树 删除 无关
文件 外部排序 无关
存储结构 二叉链表 包含
路径 程序 无关
递归算法 程序 无关
线性探测 程序 无关
检索 散列 拥有
修改 二叉树 无关
排序 集合 无关
索引顺序文件 顺序文件 属于
抽象数据类型 数据类型 属于
循环队列 链队列 无关
集合 数据 无关
原子类型 变量 属于
引用 字典 无关
确定性 深度 无关
多模匹配 模式匹配 属于
非数值计算 程序 无关
数据项 数据结构 属于
数据 子集 无关
左子树 双亲结点 拥有
数据结构 二元组 无关
数据结构 数据类型 无关
频度 数据 属性
引用参数 变量 无关
引用参数 参数 属于
程序 引用 无关
程序 表达式树 拥有
数据结构 后进先出 无关
插入排序 折半插入排序 包含
关键字 平均查找长度 无关
修改 检索 无关
插入 空串 无关
时间复杂度 折半查找 属性
左子树 元素 无关
逆邻接表 顶点 无关
修改 队列 无关
顶点 输入 无关
结点 拓扑排序 无关
数据元素 散列 无关
旅行商问题 回路 依赖
结点 内存地址 无关
字典 内存 无关
内存 结点 无关
参数 取模 无关
线性表 随机存取 拥有
有向图 入度 拥有
线性表 基地址 无关
线性表 程序 无关
变量 等价类 无关
结点 逻辑结构 无关
模式串 KMP算法 被依赖
KMP算法 算法 属于
指针 前驱 属性
关键字 字符串 无关
最高位优先法 排序 属性
AOE网 路径 拥有
修改 参数 无关
文件 字符 无关
数据元素 哈希表 无关
头指针 元素 无关
算法 链表 无关
关键字 模式匹配 无关
伪代码 空间复杂度 无关
森林 顶点 无关
顶点 强连通分量 无关
元素 强连通分量 无关
时间复杂度 完全背包问题 无关
顺序查找 检索 无关
红黑树 数据结构 属于
红黑树 插入 无关
二叉排序树 路径 无关
逻辑结构 顺序表 属性
伸展树 内存 无关
数组 桶排序 无关
二叉排序树 数据项 无关
输入 桶排序 无关
伸展树 二叉树 属于
运算符 引用 无关
表达式 元素 无关
双向链表 双端队列 无关
二叉链表 二叉树 属性
迭代器 删除 无关
有向图 十字链表 属性
散列 赋值 无关
散列 数组 无关
哈希函数 元素 无关
索引项 关键字 依赖
文件 根结点 无关
数组指针 二维数组 属性
修改 内存 无关
完全二叉树 索引 拥有
深度优先遍历 递归算法 属于
无向图 邻接表 拥有
元素 二维数组 属性
队列 指针域 无关
完全二叉树 叶子结点 拥有
赋值 赋值语句 被依赖
后继 指针 拥有
路径 文件 无关
内存 栈顶指针 无关
数据结构 引用 无关
修改 赋值 无关
平衡因子 插入 无关
单向链表 递归 无关
字符串 整型 无关
线性表 内存 无关
内存地址 操作数 无关
遍历 指针 无关
子串 检索 拥有
KMP算法 数组 无关
模式串 检索 拥有
常量 集合 无关
常量 引用 属性
进栈 内存 无关
队列 头结点 无关
深度 广度优先遍历 无关
迭代器 引用 无关
递归 N叉树 无关
集合 关键字 无关
数据结构 记录 拥有
字符 哈夫曼编码 被依赖
快速排序 堆排序 无关
散列 数据 无关
线性结构 数组 无关
左子树 二叉堆 无关
删除 插入 反义
链表 文件 无关
数组 迭代器 无关
内存 数据结构 被依赖
数据结构 内存 依赖
广度优先遍历 先序遍历 无关
栈顶 运算符 无关
数据结构 散列 包含
索引 字符 无关
字符 后缀树 无关
时间复杂度 赋值 无关
叶子结点 索引 无关
索引 深度 无关
参数 变量名 无关
形式参数 变量名 无关
实值参数 赋值 被依赖
输入 整除 无关
神经网络算法 算法 属于
文件 后缀树 无关
散列 链表 无关
递归 空间复杂度 拥有
实值参数 内存地址 无关
修改 变量 无关
深度优先遍历 子图 无关
引用 引用参数 拥有
邻接表 数据 无关
链表 空表 包含
程序 结点 无关
神经网络算法 输出 拥有
存储结构 时间复杂度 被依赖
存储地址 元素 无关
插入 指针 无关
删除 变量 无关
逻辑结构 路径 无关
顺序表 数组 属于
检索 存储结构 依赖
赋值 字符型 无关
迭代器 修改 无关
运算符 编码 无关
文件 主函数 无关
函数名 冲突 无关
表达式 形式参数 无关
散列 时间复杂度 拥有
负载因子 散列 无关
插入排序 希尔排序 包含
时间复杂度 桶排序 属性
修改 程序 无关
记录 直接插入排序 无关
快速排序 子串 无关
哈希地址 单向链表 无关
询问 程序 无关
参数 队列 无关
递归 记录 无关
队尾元素 入队 被依赖
编码 递归 无关
编码 树形结构 属性
参数 记录 无关
散列 存储结构 属于
后序序列 右子树 无关
散列 参数 无关
最小生成树 完全图 属性
算法 路径压缩 属性
程序 检索 无关
元素 红黑树 无关
文件 队列 拥有
询问 链表 无关
负载因子 哈希函数 无关
哈希函数 集合 无关
检索 冲突 无关
插入 哈希函数 无关
元素 链表 属性
表达式 斐波那契数列 无关
头结点 输出 无关
数组 哈希表 无关
插入 散列 无关
深度 进栈 无关
数据 三元组 无关
引用 递归 无关
二叉堆 数据 无关
二叉堆 文件 无关
二叉堆 堆排序 拥有
双亲结点 右子树 被依赖
索引 变量名 拥有
检索 整型 无关
0-1背包问题 背包问题 属于
索引 时间复杂度 无关
外部排序 数据元素 无关
回路 深度优先遍历 无关
头指针 记录 属性
排序 中序遍历 无关
割点 深度优先遍历 无关
多源最短路径 数组 无关
变量 记录 无关
参数 冲突 无关
迭代器 赋值 无关
确定性 输出 无关
输出 修改 无关
常量 数据类型 拥有
参数 递归 无关
字典 排序 拥有
后继 路径 无关
引用 表达式 无关
关键字 引用 无关
子树 插入 无关
输入 形式参数 无关
结点 左孩子 拥有
结点 链域 无关
引用 文件 无关
数据类型 抽象数据类型 包含
双向链表 插入 拥有
字符串 参数 属性
递归 参数 无关
双向链表 后继 拥有
二叉堆 队列 无关
遍历 内存 无关
参数 叶子结点 无关
字符型 指针 拥有
检索 数组 属性
内存 迭代器 无关
删除 遍历 无关
遍历 变量 无关
子串 数组 无关
克鲁斯卡尔算法 最小生成树 属性
广度优先遍历 先进先出 无关
无向图 最小生成树 拥有
克鲁斯卡尔算法 时间复杂度 拥有
并查集 连通图 属性
字典 元素 无关
表达式树 编译 被依赖
输入 插入 无关
字符 字符序列 被依赖
空队列 队列 属于
最小生成树 顶点 无关
修改 深度 无关
简单路径 结点 无关
指针 检索 无关
顶点 优先队列 无关
B树 关键字 拥有
关键字 指针 无关
双亲 兄弟结点 被依赖
双亲结点 关键字 无关
文件 B+树 无关
字符 AC自动机 无关
集合 哈夫曼编码 无关
空队列 头结点 无关
区间树 红黑树 无关
元素 哈夫曼树 无关
回文串 字符 拥有
二维数组 回文串 无关
文件 变量 无关
内存 时间复杂度 无关
结点 起泡排序 无关
二叉堆 优先队列 无关
优先队列 平衡二叉排序树 无关
删除 平衡二叉排序树 无关
最小不平衡子树 根结点 拥有
删除 平衡因子 无关
双亲 平衡因子 无关
参数 字符串 拥有
常量 编译 无关
常量 数据 属于
参数 常量 拥有
索引 输入 无关
递归算法 时间复杂度 拥有
指针 父结点 属性
路径压缩 检索 无关
子串 散列 无关
并查集 数组 无关
主串 元素 无关
数据 森林 无关
编译 赋值 无关
森林 程序 无关
散列 布鲁姆过滤器 拥有
链表 邻接表 包含
遍历 时间复杂度 拥有
算法 有向无环图 无关
剪枝 数据结构 属于
数组 递归 无关
顺序表 存储地址 拥有
根结点 右子树 无关
邻接表 递归 无关
数据域 关键字 无关
确定性 元素 无关
父结点 左子树 被依赖
遍历 表达式 无关
结点 哈夫曼编码 无关
数据域 指针域 反义
头指针 单向链表 属性
线性表 栈顶 无关
单向链表 循环链表 被依赖
数据结构 B+树 包含
表达式 完全二叉树 无关
数据 叶子结点 无关
优先队列 排序 无关
修改 删除 无关
字符 BM算法 被依赖
冲突 索引 无关
字典 索引 属性
前驱 数据元素 无关
索引 后缀树 无关
递归 树形结构 无关
字符 变量 属性
基数排序 时间复杂度 拥有
根结点 双亲 属于
空指针 结点 无关
右孩子 指针 无关
结点 败者树 无关
路径 弗洛伊德算法 拥有
二叉树 右孩子 无关
